ques,skill
7245,21
8708,97
13268,17
12301,118
2494,76
12837,4
851,73
11774,26
5526,56
8314,90
4852,53
9329,29
13207,118
1283,84
2053,51
6286,91
10597,85
1094,22
12803,29
10753,61
3096,107
12513,97
10830,61
135,38
2336,88
8460,120
1687,84
5725,2
6323,67
6694,86
11336,17
172,41
485,62
15005,49
6896,30
3256,79
465,66
6811,71
4462,33
12366,32
14620,64
6088,49
437,44
2109,79
9717,18
5116,38
13162,67
3181,107
4603,93
7361,21
14482,97
15341,10
13205,85
3902,85
6996,56
3038,84
896,51
8797,116
15264,83
10162,16
7404,92
12935,93
14025,25
4286,45
9569,116
15365,100
4384,53
12982,24
14794,49
7616,116
13893,18
15192,100
5372,53
5780,28
11354,17
2573,51
8293,23
5509,2
4613,93
7085,32
11933,81
11103,70
4181,59
12122,26
15459,119
830,73
5617,11
12596,97
11244,24
5756,2
8477,97
11880,72
13136,118
13578,21
5742,85
1566,4
4312,53
5675,108
7061,56
15587,119
12492,97
6687,18
3040,84
3924,24
8815,84
11828,95
6748,28
3026,91
15234,42
9502,28
11685,26
14745,15
6359,18
13554,118
15055,55
10112,111
6225,74
4482,53
6979,97
14546,37
933,51
8651,97
5640,114
9704,103
559,73
815,51
3296,99
13151,85
3097,118
748,118
7735,103
2638,22
7586,58
15021,20
7226,21
3025,51
10427,90
168,2
12410,59
5008,100
1013,118
1327,84
3011,96
8637,63
11945,72
5882,28
1995,22
9491,56
10332,85
13914,8
4070,2
9035,84
9676,68
292,99
7852,80
2917,118
7980,29
8489,120
1492,4
8381,58
1682,84
3700,59
3989,24
5679,17
710,73
10064,37
4141,67
8769,81
922,73
4406,41
9272,56
14293,37
3760,79
2124,29
12499,97
6361,118
4885,53
12381,29
5900,64
395,72
12280,6
7054,56
12850,4
1434,95
978,51
2831,73
9894,59
4743,72
9955,59
860,51
1249,84
14843,55
4543,38
9338,27
3604,22
10947,108
13310,21
12451,32
2958,68
2616,27
4941,79
105,54
10586,28
11986,59
14258,113
10762,59
2881,73
14606,64
4699,37
5842,85
229,93
5738,2
5791,28
2085,73
34,93
12076,72
9974,23
10245,16
14305,59
11820,69
10791,5
14421,48
10889,5
13532,108
2240,29
9555,116
522,73
4512,23
4205,118
7694,92
12288,97
29,71
13465,93
8425,97
13907,72
14633,64
6648,49
1581,89
11806,3
8374,58
12099,23
10124,120
12701,75
13811,76
8810,84
9598,5
3939,93
3298,79
6759,28
5975,38
10794,29
14349,21
5523,73
1917,50
6421,27
11861,4
4996,79
11397,71
4574,87
6140,86
3887,74
3041,79
13679,50
479,89
3402,64
6222,41
9189,65
13835,18
5665,97
12657,113
14152,110
7170,93
881,51
5907,28
6397,29
8231,90
11791,56
9449,85
5599,112
6222,88
13008,28
4854,41
3539,22
7094,28
2183,22
3786,61
10109,90
10056,90
14775,82
10636,53
5531,97
8534,120
37,17
15363,119
13752,90
3454,22
4223,59
6585,109
10673,56
10730,59
12258,67
12656,21
7863,1
13998,29
4857,85
13249,32
255,85
6784,93
8908,28
7928,84
11054,86
11590,4
15035,55
4611,108
12966,71
2082,73
13502,21
6207,115
9330,5
2542,71
4468,33
40,41
15286,100
2005,4
7026,51
4511,23
1368,119
12969,50
7491,71
1830,113
1668,84
12055,59
9585,81
10446,49
8964,60
11404,79
3126,118
7805,116
13890,21
13340,118
1819,113
1910,50
4359,112
975,51
13311,21
6133,18
338,84
4406,53
6009,28
14800,49
4012,2
12765,81
2930,118
8869,74
13656,50
13709,24
3159,107
14047,110
8822,58
4386,33
4993,79
4352,113
10187,90
2157,71
10867,67
10317,30
2308,95
4419,59
13253,61
9152,65
15271,52
11099,20
5552,73
182,15
6413,5
10535,56
7024,28
6256,118
14355,111
7651,73
8130,118
9267,121
6721,28
1761,29
7310,116
10153,120
12565,76
2526,38
10377,59
11169,55
1538,95
5164,77
1116,119
9599,5
8587,28
1615,95
10316,56
10795,29
12678,116
8159,118
15089,57
741,22
11573,38
12672,61
9859,59
5258,105
7826,1
11064,74
14619,64
9920,59
11995,53
13974,27
9319,27
4846,50
6624,71
11378,17
6351,28
14434,65
2303,54
8796,116
3707,4
14491,10
3574,29
589,51
6630,109
2529,93
8576,73
2025,51
7042,27
298,92
11482,19
12577,97
8582,51
13640,49
3720,99
1172,22
1465,4
5632,84
7089,28
9568,116
11211,11
12810,81
13859,86
14662,64
4602,41
8185,90
14286,59
13720,24
13005,50
7655,74
3958,38
9175,65
8886,28
9088,67
7939,81
8124,51
12887,50
5613,22
12175,76
13366,21
7028,86
2596,51
8552,118
15667,90
11049,86
4375,23
6782,93
3853,27
9227,65
10927,29
10512,56
13503,21
985,73
4854,53
14147,113
11253,79
368,69
13962,6
9786,67
11135,111
1778,113
8099,117
13915,106
4217,33
2662,22
11698,95
5099,79
7250,21
15481,22
3734,64
8258,90
1351,84
3552,22
785,51
12282,97
13863,91
10602,85
4407,53
2015,2
1800,113
11057,15
3221,85
8061,29
9652,54
10041,81
7701,92
7002,28
12031,76
10878,48
12456,6
12206,72
13818,76
8488,120
10235,116
12395,11
14521,36
11080,86
7567,28
2731,87
8683,23
6616,109
14245,90
13477,32
11869,3
3722,95
6085,4
1231,119
7537,28
9590,27
2403,119
6417,29
15370,83
11393,17
6494,29
1576,84
10002,81
9823,59
10620,85
15575,14
13841,86
13969,25
2003,119
5249,11
12683,76
11554,4
15251,84
2834,118
11189,111
4742,72
13300,67
4432,41
14553,6
1605,120
3124,107
7803,103
1183,22
3185,67
13242,68
10296,97
570,51
5942,64
1965,96
14961,18
11202,29
4917,79
7323,116
6972,30
8881,28
12160,91
10656,121
157,73
2725,113
15132,119
6190,71
9693,85
12422,85
6911,27
5543,28
5201,77
2444,119
3167,85
9232,121
12365,21
13542,37
15075,103
6573,86
15326,52
15479,22
14072,48
14632,64
11273,48
4855,53
5244,84
6539,91
13987,9
12317,67
9112,54
5063,72
5580,118
6045,28
8957,60
2001,71
1893,113
11676,74
15282,36
3563,22
10688,71
3274,79
598,73
10204,20
12600,56
14088,111
5009,37
11339,17
13735,21
5826,28
14181,37
782,51
4392,33
2234,99
5688,101
11766,112
1214,22
14100,61
648,51
9573,116
14556,116
2442,84
11078,86
4388,53
4706,24
7013,28
13483,85
14312,59
9739,103
2988,79
13459,28
6808,28
4445,85
2581,40
7368,116
8794,28
10977,18
14009,110
10051,38
14518,43
1645,84
13734,49
6224,50
7562,28
9876,59
10403,56
13378,71
13795,37
13272,38
4880,67
13425,32
6951,56
11613,22
14797,49
14551,6
2042,51
13316,32
1165,22
11357,17
6495,29
305,92
6627,109
4946,79
8300,90
14098,110
6233,38
8859,103
12617,49
6243,93
5991,28
12884,81
2090,73
11973,72
257,2
8765,81
13230,61
6545,51
15404,52
7433,116
10130,111
3793,61
9988,81
12152,37
14782,8
200,84
6926,27
6289,54
5079,79
11203,29
48,24
6849,30
4409,41
3135,107
13490,32
15488,22
14752,90
239,2
4823,74
15247,119
12777,85
15655,90
11520,120
8692,97
6902,5
15113,119
13044,61
1562,30
13543,37
1619,99
13195,21
8982,60
14120,6
6218,118
423,72
8787,84
4149,88
2631,73
14559,92
9508,28
4428,33
6426,27
10152,120
12564,76
13894,72
4233,85
9461,28
6597,18
167,71
2938,73
1257,119
5359,74
9313,29
1196,22
5747,53
10989,56
104,76
3550,67
450,72
3426,85
5955,64
10006,81
2306,84
2876,118
19,37
5743,33
12445,97
5837,28
13123,85
10053,90
12270,32
12506,113
14196,70
14847,55
4778,29
7160,32
13983,32
1944,31
10851,56
4731,23
12681,91
612,51
1091,22
11320,17
6444,56
10352,97
1670,84
18,38
5746,41
14661,64
4564,37
9962,23
136,37
635,99
10418,116
502,62
10897,81
12653,32
12971,71
14242,92
14080,111
5323,73
15201,36
9600,5
10640,85
5551,73
1029,118
7074,37
4388,41
2827,119
14322,112
5181,77
1369,84
10916,56
5242,77
9809,59
13877,18
2471,84
4876,85
5446,51
3586,51
6637,109
5379,118
5697,23
10417,103
7273,21
3386,93
13914,9
10084,90
1341,119
8560,53
13231,61
140,40
4815,17
10749,59
15580,36
10318,16
6803,29
7818,80
6418,5
12233,85
15570,14
4832,71
15499,22
10807,84
13947,48
7700,92
9105,54
11029,74
12105,19
1715,84
6665,109
11669,26
4376,28
9348,5
328,54
1842,113
277,99
5492,73
4429,41
7352,32
917,51
14905,55
15366,100
9324,27
11450,26
10293,97
6171,18
7087,32
7020,5
5269,112
627,73
8288,90
7593,116
8730,97
13442,18
14340,36
4775,88
9009,30
9471,58
4779,29
13931,32
4394,53
4799,86
6962,29
9333,5
4471,33
2098,84
7066,15
10567,53
4158,53
1964,96
1927,108
4987,79
6891,30
10372,37
13914,106
322,99
2563,51
14615,64
6610,18
7423,116
14548,37
6364,37
133,73
5362,96
13390,17
14966,55
6478,37
6957,56
9878,59
1816,6
9939,59
844,51
6468,27
12028,118
6165,37
9061,53
4389,33
14091,111
15188,100
142,40
1266,84
11609,81
12340,67
12981,85
5769,2
2079,51
4612,15
12168,74
506,73
12639,49
5775,28
1104,22
10190,27
14080,75
5394,73
2918,118
3525,22
7341,116
8005,29
14674,64
9013,84
516,51
2992,67
2153,73
5751,2
3069,107
10256,97
11875,72
3705,59
8922,30
2931,118
491,53
4431,41
9572,116
13995,6
7711,92
1612,84
5527,69
430,48
529,73
6743,28
453,113
6033,64
3121,107
7829,1
9424,67
12793,76
13710,71
14441,117
353,37
852,73
14004,111
144,120
9349,29
4434,33
4487,41
4202,5
9595,27
5952,47
11485,19
8793,5
7548,28
1448,95
6123,86
770,119
14279,100
12048,59
1525,95
10982,55
12908,81
7524,21
11266,24
12951,71
234,2
10388,90
163,2
5924,28
25,37
5877,28
3183,96
1424,119
304,92
2599,51
7476,71
8299,90
11247,38
10681,65
11792,79
1677,84
8673,97
7713,84
5678,86
7580,37
2265,29
6684,18
7584,32
7770,111
11578,120
10425,68
12404,54
14168,61
537,51
4456,53
7432,116
44,37
12218,72
8811,84
12545,6
13486,21
1814,6
13651,86
8744,27
4159,53
12423,29
1234,116
13054,59
9522,22
9636,18
12845,4
14781,9
4020,74
5909,100
1291,84
7100,32
15065,55
751,76
3599,22
2810,84
4182,88
6040,28
959,51
4152,27
3295,79
4390,53
15004,86
2505,74
1998,108
5405,118
4451,41
13801,112
14784,49
7612,58
4441,67
5733,2
5770,28
8454,111
13204,59
251,87
11231,71
7926,81
8216,16
15255,52
6260,74
449,72
5438,113
7598,108
13763,93
2606,2
10086,90
10519,56
14628,64
8933,30
11723,4
15083,98
12297,67
15454,119
12576,6
13806,76
15387,42
6738,28
7952,116
7327,116
378,48
7658,93
15315,119
6980,97
7830,117
7227,32
2790,73
11443,50
8652,97
1754,84
118,54
5602,72
2523,38
10242,97
9904,59
14318,90
5285,85
7667,86
12719,114
13198,85
9303,27
13644,61
12093,37
11362,17
13027,5
15224,42
4303,86
5299,73
1783,112
7093,32
573,51
7663,2
10798,5
11111,70
9026,84
13023,81
13981,11
8206,90
9605,118
10963,55
6110,18
13643,76
13292,118
8770,81
3329,66
7933,81
3832,61
1796,6
13633,86
13174,118
12210,37
12500,97
3197,85
14212,112
7748,90
4605,108
3609,59
5084,79
6532,54
14545,76
1482,119
13177,67
9278,56
15104,119
1364,119
11816,3
14963,18
4514,28
8384,58
5223,77
5189,77
13420,24
1658,95
3102,107
8144,118
4794,71
8659,97
12764,76
11531,81
4291,67
7338,68
2646,22
6788,37
11753,65
2080,51
8346,29
2673,84
7220,32
6191,38
4395,33
6051,28
10904,67
9334,29
8727,97
6470,27
6825,56
7304,91
5562,51
651,51
3565,85
8601,73
6460,5
9684,68
10273,20
1500,4
3262,79
4391,53
4675,118
10676,87
4489,53
8929,45
6074,86
1733,50
7176,21
4408,67
2156,4
8426,97
5832,28
2142,51
91,95
9276,13
1287,119
4239,118
6369,54
7157,21
5130,113
1153,119
7718,92
3906,85
7019,28
5628,22
1585,84
6824,30
7394,32
14576,64
9983,23
1921,74
10736,7
11293,59
8448,97
4417,85
7113,32
11734,87
13333,21
2045,51
4684,45
8843,40
11853,35
416,44
4521,23
6576,86
7568,28
11809,69
12392,29
12958,74
13987,8
9925,59
14548,93
6401,29
13906,72
15492,22
5951,64
3203,59
1019,118
8829,112
14614,64
4963,79
5442,112
5334,66
9807,59
14851,55
1751,118
2349,79
7008,56
14755,55
5897,28
10603,87
5186,77
6410,84
8245,16
293,92
9127,86
10489,28
10253,97
1167,22
8638,97
15482,120
9212,94
8628,63
10390,90
10465,27
3340,38
11514,22
8524,120
13351,68
14641,64
14945,18
13412,118
14741,37
468,69
1066,22
8818,84
1929,108
9350,5
10944,87
12591,91
7340,116
8580,73
5119,39
6790,93
9576,56
9782,24
3259,79
7240,32
9012,84
9586,81
4525,28
7725,103
4880,53
10598,59
15310,52
3457,96
174,2
8756,81
7643,90
258,41
9719,92
15162,119
154,118
4316,86
6206,118
7106,32
9457,85
2162,51
2641,22
12352,5
5118,71
1330,84
3547,22
8347,29
4406,67
14834,55
11009,56
12239,118
6870,56
10868,67
6233,37
3395,74
9335,29
12176,72
13804,76
7078,21
8343,73
8565,73
3955,2
11323,17
13856,69
8232,90
13919,106
1198,22
5431,100
14426,76
888,51
4865,67
7614,58
817,73
1704,119
11956,95
14296,59
14782,9
15261,52
13675,86
1748,96
58,95
2056,73
9338,5
6075,49
12319,118
1663,119
6366,37
7452,32
7651,51
12897,74
14829,18
4519,23
3651,59
4072,4
6612,109
7499,71
8393,58
1676,84
7077,37
10505,52
6474,74
688,73
11831,95
323,62
12920,4
15190,100
2787,73
1272,119
11426,111
1055,62
2388,4
6935,56
6141,18
181,53
6412,27
7569,38
10048,58
12906,74
8341,28
12939,11
14049,16
5272,79
12578,97
10709,30
4688,118
11188,61
8459,97
13465,71
4836,54
14424,97
13917,25
11549,4
3693,95
13954,5
811,51
10305,97
6455,4
12796,37
2316,79
5918,85
1391,84
14239,36
12607,79
5230,77
7319,116
1954,22
6529,51
6421,5
4134,118
5921,64
6407,54
8010,29
4474,53
7285,15
11059,38
1313,119
6116,37
4265,118
7142,32
9601,81
4764,72
3156,29
7298,32
13264,61
9351,5
13598,86
4,86
3824,79
8966,45
9284,56
13868,112
15016,82
6866,30
14969,86
12192,53
15292,52
14627,64
425,72
2993,96
4901,50
10968,27
14908,55
3829,99
4797,97
14039,110
3155,76
9549,29
4783,50
7037,56
3947,24
2456,54
10836,18
2043,73
6581,18
11936,74
9344,27
5920,85
10659,67
9657,68
9772,59
6912,56
1180,22
1473,4
10706,90
11661,112
8075,23
4668,97
14670,64
107,120
8065,29
6376,91
11637,81
11641,22
4397,53
10645,13
12956,71
1806,113
5821,28
7079,21
14831,55
4762,29
1193,22
5355,118
5483,61
8684,120
7785,113
596,51
1075,22
7269,32
9235,65
2566,51
13511,21
1914,27
10284,97
3415,74
10345,85
2014,22
6229,68
11679,3
405,44
4168,112
7135,32
7557,28
7747,90
12381,27
15371,83
15467,22
11384,61
4999,79
5060,79
10857,67
3951,74
1919,108
7543,84
15204,119
2066,51
8423,16
12205,72
2565,27
10610,85
3186,67
5420,110
8295,90
6322,91
7371,92
11550,22
15675,17
1386,84
5127,113
7257,21
2726,113
5889,2
111,91
792,51
7646,97
9408,118
11037,18
10363,85
14967,86
12655,32
12403,59
7313,116
3427,85
8011,29
8701,97
10662,121
12935,50
1567,119
7873,92
6787,93
13921,9
8364,119
15203,100
13357,21
33,2
1428,119
7262,32
5871,2
10818,18
12318,67
8967,45
1310,119
9726,92
13261,17
10794,27
8535,111
1584,84
365,62
683,89
1253,119
14068,110
11221,56
9503,28
14581,90
1135,119
5627,15
11900,74
15302,10
2667,23
8619,97
9308,27
7051,15
11002,56
15606,119
445,72
6259,38
6387,29
7180,32
5441,112
10438,92
12710,74
14191,70
6434,118
12757,37
4331,110
4294,118
4459,53
3607,59
4773,27
8457,120
5883,28
4573,37
5920,2
10755,59
9421,118
10950,59
4378,53
1640,120
8871,21
7610,116
10266,20
13550,37
14741,93
14835,110
5977,64
14640,64
8523,120
13331,32
3420,51
6790,37
1042,119
12325,67
1541,95
3225,11
9734,103
1928,108
5228,77
6594,18
11087,20
15068,55
3581,96
3895,2
8617,28
5436,2
4630,73
6277,15
946,51
9686,68
6462,5
11063,15
14199,110
2215,118
11124,15
2219,115
11532,22
11536,81
5027,79
13164,85
2498,38
4552,45
6314,4
14683,64
6760,108
13880,37
6304,18
11903,108
9628,116
12196,76
11683,19
106,54
12641,97
3082,73
12623,49
4561,50
3267,79
348,31
12462,113
5117,93
14446,80
3509,22
12707,74
874,51
7989,29
5776,28
2161,2
10995,56
3998,74
7173,32
3695,4
6181,86
10596,85
9523,116
13058,59
4173,118
6688,86
7162,21
12512,97
7148,32
14351,116
14445,121
15565,14
13698,75
2449,54
12973,61
6521,116
4395,85
8574,51
1710,84
3873,29
2237,79
7499,15
13637,86
14016,97
3114,107
3056,31
7793,103
11824,95
12009,85
14781,8
9589,29
14354,90
3218,61
15108,119
15534,22
6422,29
15297,42
3551,67
859,73
5633,97
4968,79
12625,113
664,73
12446,97
10966,55
6274,28
9802,49
6905,56
5918,2
8739,97
12711,71
12905,74
1968,0
1864,113
5328,110
4617,71
9014,84
4694,87
402,44
3540,22
4309,59
42,71
5024,79
958,73
5556,118
7095,28
12648,76
247,2
12563,37
15235,42
2818,96
11326,17
2966,40
6910,5
12961,74
5485,73
521,51
4440,53
13551,37
10580,59
85,84
9217,56
10694,71
14185,59
3264,79
12027,85
13470,85
7797,92
4218,118
4436,33
3142,96
5671,45
2629,51
4113,2
6619,109
6078,49
6791,37
11960,26
12141,37
11689,4
12686,76
4763,72
12937,50
8500,111
1157,119
11068,71
4824,74
9202,65
5195,77
12680,37
6970,56
11699,95
5343,93
12815,49
1039,119
13142,85
3151,67
3668,95
10589,85
4914,71
1507,95
8197,90
4421,85
13715,108
7179,21
15662,67
943,51
14931,55
13279,85
8352,29
6301,91
7411,92
4806,72
3586,73
9340,29
3127,107
4648,54
12073,72
14015,110
15591,120
9656,68
3534,27
11328,17
2489,91
2822,119
13771,18
9153,94
12779,76
14669,64
5493,51
582,51
9970,23
838,73
2927,118
8051,29
12665,37
10412,103
12979,71
13407,15
8131,85
2172,85
13590,86
4524,23
7690,92
7504,71
1202,119
6239,38
2390,119
6722,28
1705,84
4852,67
9135,56
14696,64
4002,74
2792,73
12998,67
7486,74
4386,67
9209,65
12798,37
102,54
14854,55
988,51
1377,84
3357,38
257,85
9888,59
2811,84
8896,53
14231,10
1956,50
5069,79
5701,50
6423,29
628,73
115,54
4827,37
4864,41
6598,109
2830,73
13922,25
11540,81
11759,79
7637,56
12204,72
5919,28
7186,32
9310,27
10102,23
5501,61
9536,116
10106,90
14149,113
11165,20
3309,79
6094,18
7233,91
7766,111
2317,27
14761,55
6426,5
12882,93
1466,4
13381,53
7944,27
11202,27
171,38
650,73
6679,18
13792,28
1723,84
11050,71
4215,118
6911,5
13768,21
9262,56
8749,27
7488,38
4494,33
1974,71
4063,24
5480,6
4859,67
9146,121
10158,118
14176,97
2701,87
9631,18
11026,111
12132,111
4727,72
2990,79
12800,37
392,6
3170,59
7493,93
12169,76
12606,97
7517,71
15657,97
6326,86
14999,86
12472,5
6515,27
8080,23
2103,99
14382,76
3502,85
15401,100
5964,93
2093,73
478,89
5765,28
14086,111
9341,5
2154,73
10184,90
2500,93
7084,21
10864,113
13668,74
13246,32
4469,59
6657,109
10357,28
10575,85
7726,103
15012,82
12876,37
4649,93
5973,74
2466,76
2230,29
6942,30
15615,52
3448,22
4948,79
9036,28
7003,28
1986,68
10679,59
10740,59
11847,72
11718,4
12353,32
10545,51
563,51
15237,104
5370,96
14404,49
12571,6
11888,22
6733,28
4586,27
11998,95
15582,43
10882,5
1317,119
5976,64
14132,110
11864,95
7552,28
15376,83
1199,119
2532,51
9909,59
12799,37
5848,58
10023,7
1065,119
3633,95
11124,71
7538,28
9852,59
1809,112
12894,50
8438,95
3439,47
13757,80
3334,73
6465,88
9695,103
311,92
4400,41
9021,84
14682,64
2812,73
4477,53
3092,107
6347,28
12129,111
7771,103
12509,97
6708,51
12697,111
6089,18
10264,97
1363,84
14121,38
4224,118
13760,90
9195,94
5478,6
12603,85
13969,106
8016,29
7743,90
9432,67
9560,56
2554,11
3475,67
2579,118
8882,28
7438,116
11271,118
9495,18
11240,24
4864,53
6902,27
1244,119
5131,73
6084,49
14079,113
12588,37
3158,73
12427,97
1126,119
5595,4
10876,27
13020,32
13955,73
7968,62
8153,118
11192,74
5386,105
11294,79
366,112
5339,27
12682,49
14173,29
5144,27
2672,23
4138,88
2431,54
6046,28
7276,18
5409,73
4579,38
717,51
4057,2
4732,96
7484,71
3143,61
13475,61
14031,16
14790,49
4977,79
6392,29
1870,112
3389,93
3446,22
3247,99
8576,51
3416,37
11411,79
10770,61
247,85
4778,27
8222,16
52,37
9754,103
12734,71
2970,108
13366,32
1822,6
5006,11
6843,23
10362,85
14463,97
11666,3
15643,97
15677,17
5257,79
5623,22
14024,32
13825,49
8377,58
7929,27
13460,28
9412,118
12914,50
14275,113
8795,28
11186,111
7563,28
12990,118
12937,74
7777,72
2362,62
3141,96
4563,86
13901,72
13830,76
226,37
5032,79
984,73
15430,100
913,51
3886,74
5741,2
8647,97
3377,74
11091,71
795,51
1773,112
3681,4
13259,32
6187,23
8224,16
5171,77
11030,38
1602,120
3178,118
2571,108
6234,38
8230,90
13388,67
1592,62
4478,33
14270,97
5312,53
14579,9
3761,61
7994,29
4074,76
8613,51
12159,76
15091,98
12072,72
13040,32
9767,81
10935,108
12584,6
15594,119
5388,73
13454,29
12755,95
6290,54
13407,71
1900,27
8789,27
10040,81
3847,88
8660,97
12992,50
12495,97
13424,21
13477,21
1016,22
12798,18
1577,89
12697,75
3746,28
2436,51
3931,24
8983,60
9594,29
15622,97
9874,59
8602,73
1225,119
10806,5
9951,59
2764,95
8046,58
8517,90
1728,74
1657,84
9000,60
4001,74
9462,28
12646,49
14711,64
13480,37
9395,85
4760,51
11896,72
13799,76
2398,116
5373,73
1524,84
9090,85
1804,6
4381,53
12716,71
13789,86
14938,55
4813,18
13395,67
3812,99
11473,26
8227,90
698,51
1177,22
902,73
8654,63
13998,5
4010,74
4243,61
9987,23
2857,118
6962,27
13921,8
13495,21
15142,119
1092,22
4718,96
14397,36
6644,49
10956,86
218,15
9089,53
593,73
10742,59
6773,28
821,73
2819,95
2397,119
6692,86
10030,117
13883,37
2094,73
4403,33
5452,28
6199,102
9578,92
13774,18
8407,16
4015,2
6250,74
6468,5
13384,108
7764,1
12051,59
12667,76
887,73
10019,117
7184,21
7014,56
6558,18
13770,74
9854,59
13389,118
6605,109
12880,74
910,51
11011,55
13986,8
15278,83
7165,21
11571,15
11429,85
2814,37
3094,107
179,84
5741,85
7624,58
7995,29
10227,20
3303,99
12852,87
14367,97
8056,29
12377,113
10669,56
14513,68
118,91
4759,72
8443,51
13577,86
7107,21
15011,82
13455,29
12211,76
5636,86
7910,27
15500,22
2689,84
9454,118
11931,93
4576,86
5625,93
9106,54
2950,93
420,72
14408,76
11043,85
2286,79
13302,93
9349,27
9163,56
3710,4
10801,27
1753,73
8253,16
207,49
6699,109
2651,23
14541,97
13377,67
5074,79
1175,22
2474,76
5449,105
6860,56
14649,64
1387,84
9325,29
9689,65
358,22
13359,68
13120,67
3945,38
6357,18
9315,27
4842,66
13862,37
4382,33
1074,22
3770,59
12361,97
4443,53
4757,27
13078,76
13838,18
850,73
4439,33
6512,116
4851,33
7733,103
5701,93
6299,54
9010,30
6798,28
4841,27
8764,81
4543,71
4898,50
12683,37
2905,51
8754,27
11858,81
290,99
2787,51
3039,88
6892,30
7391,116
10833,86
3252,79
15123,119
14539,76
4206,118
4632,73
11226,15
12859,61
3849,27
5477,31
11398,71
12692,76
14934,55
4233,2
4414,67
5591,11
10980,18
10306,97
15668,72
1267,119
7056,56
6469,29
3640,95
5007,27
12015,59
14055,97
4232,85
15155,36
15601,52
7299,21
12573,97
13143,67
8270,90
3716,99
4262,113
5149,79
7309,116
10604,28
12459,6
5760,28
13575,86
14841,55
15634,74
11478,66
2610,108
1608,119
5395,51
12142,37
2353,29
7507,71
13669,24
3412,73
2899,118
4953,79
9355,56
9607,81
2576,51
12468,111
13113,118
13588,18
12222,44
749,76
12785,37
2433,54
10813,18
492,59
9830,93
10907,85
10874,32
13820,11
2975,90
14415,43
6609,86
14167,111
10660,67
6728,28
1727,84
9677,30
4526,23
11129,86
4402,33
15676,6
4351,6
11557,4
7402,68
10042,52
13911,106
11638,81
3691,73
12886,111
296,116
3145,61
7307,91
13891,6
14764,55
7776,72
9937,59
3249,79
9819,59
2941,51
7806,116
1796,113
8723,110
14317,113
936,51
7150,32
13606,86
15290,10
9558,60
12742,81
12291,59
5332,112
6780,37
9031,84
9420,53
12537,113
11114,70
4424,53
10787,116
466,113
6793,28
12,37
15313,52
3001,96
3480,67
10872,108
2181,22
14773,82
9115,54
10164,59
8512,97
10901,85
13828,49
1630,31
3846,88
1481,4
12367,19
11527,22
15508,81
14678,64
13125,67
11645,81
2612,108
7362,92
7419,21
